# ------------------------------------------------------------------
# Title: Relative CPU Performance Data 
# 
# Source Information
#   -- Creators: Phillip Ein-Dor and Jacob Feldmesser
#     -- Ein-Dor: Faculty of Management; Tel Aviv University; Ramat-Aviv; 
#        Tel Aviv, 69978; Israel
#   -- Donor: David W. Aha (aha@ics.uci.edu) (714) 856-8779   
#   -- Date: October, 1987
#
# Column description:
#   1. MYCT: machine cycle time in nanoseconds (integer)
#   2. MMIN: minimum main memory in kilobytes (integer)
#   3. MMAX: maximum main memory in kilobytes (integer)
#   4. CACH: cache memory in kilobytes (integer)
#   5. CHMIN: minimum channels in units (integer)
#   6. CHMAX: maximum channels in units (integer)
#   7. ERP: estimated relative performance from the original article (integer)
#   8. PRP: published relative performance (integer)
# Attributes: 1-6
# Regression guess: 7
# Goal field: 8
#
# Summary Statistics:
#	         Min  Max   Mean    SD      PRP Correlation
#   MCYT:   17   1500  203.8   260.3   -0.3071
#   MMIN:   64   32000 2868.0  3878.7   0.7949
#   MMAX:   64   64000 11796.1 11726.6  0.8630
#   CACH:   0    256   25.2    40.6     0.6626
#   CHMIN:  0    52    4.7     6.8      0.6089
#   CHMAX:  0    176   18.2    26.0     0.6052
#   ERP:   15    1238  99.3    154.8    0.9665
#   PRP:    6    1150  105.6   160.8    1.0000
# -------------------------------------------------------------------
125,256,6000,256,16,128,199,198
29,8000,32000,32,8,32,253,269
29,8000,32000,32,8,32,253,220
29,8000,32000,32,8,32,253,172
29,8000,16000,32,8,16,132,132
26,8000,32000,64,8,32,290,318
23,16000,32000,64,16,32,381,367
23,16000,32000,64,16,32,381,489
23,16000,64000,64,16,32,749,636
23,32000,64000,128,32,64,1238,1144
400,1000,3000,0,1,2,23,38
400,512,3500,4,1,6,24,40
60,2000,8000,65,1,8,70,92
50,4000,16000,65,1,8,117,138
350,64,64,0,1,4,15,10
200,512,16000,0,4,32,64,35
167,524,2000,8,4,15,23,19
143,512,5000,0,7,32,29,28
143,1000,2000,0,5,16,22,31
110,5000,5000,142,8,64,124,120
143,1500,6300,0,5,32,35,30
143,3100,6200,0,5,20,39,33
143,2300,6200,0,6,64,40,61
110,3100,6200,0,6,64,45,76
320,128,6000,0,1,12,28,23
320,512,2000,4,1,3,21,69
320,256,6000,0,1,6,28,33
320,256,3000,4,1,3,22,27
320,512,5000,4,1,5,28,77
320,256,5000,4,1,6,27,27
25,1310,2620,131,12,24,102,274
25,1310,2620,131,12,24,102,368
50,2620,10480,30,12,24,74,32
50,2620,10480,30,12,24,74,63
56,5240,20970,30,12,24,138,106
64,5240,20970,30,12,24,136,208
50,500,2000,8,1,4,23,20
50,1000,4000,8,1,5,29,29
50,2000,8000,8,1,5,44,71
50,1000,4000,8,3,5,30,26
50,1000,8000,8,3,5,41,36
50,2000,16000,8,3,5,74,40
50,2000,16000,8,3,6,74,52
50,2000,16000,8,3,6,74,60
133,1000,12000,9,3,12,54,72
133,1000,8000,9,3,12,41,72
810,512,512,8,1,1,18,18
810,1000,5000,0,1,1,28,20
320,512,8000,4,1,5,36,40
200,512,8000,8,1,8,38,62
700,384,8000,0,1,1,34,24
700,256,2000,0,1,1,19,24
140,1000,16000,16,1,3,72,138
200,1000,8000,0,1,2,36,36
110,1000,4000,16,1,2,30,26
110,1000,12000,16,1,2,56,60
220,1000,8000,16,1,2,42,71
800,256,8000,0,1,4,34,12
800,256,8000,0,1,4,34,14
800,256,8000,0,1,4,34,20
800,256,8000,0,1,4,34,16
800,256,8000,0,1,4,34,22
125,512,1000,0,8,20,19,36
75,2000,8000,64,1,38,75,144
75,2000,16000,64,1,38,113,144
75,2000,16000,128,1,38,157,259
90,256,1000,0,3,10,18,17
105,256,2000,0,3,10,20,26
105,1000,4000,0,3,24,28,32
105,2000,4000,8,3,19,33,32
75,2000,8000,8,3,24,47,62
75,3000,8000,8,3,48,54,64
175,256,2000,0,3,24,20,22
300,768,3000,0,6,24,23,36
300,768,3000,6,6,24,25,44
300,768,12000,6,6,24,52,50
300,768,4500,0,1,24,27,45
300,384,12000,6,1,24,50,53
300,192,768,6,6,24,18,36
180,768,12000,6,1,31,53,84
330,1000,3000,0,2,4,23,16
300,1000,4000,8,3,64,30,38
300,1000,16000,8,2,112,73,38
330,1000,2000,0,1,2,20,16
330,1000,4000,0,3,6,25,22
140,2000,4000,0,3,6,28,29
140,2000,4000,0,4,8,29,40
140,2000,4000,8,1,20,32,35
140,2000,32000,32,1,20,175,134
140,2000,8000,32,1,54,57,66
140,2000,32000,32,1,54,181,141
140,2000,32000,32,1,54,181,189
140,2000,4000,8,1,20,32,22
57,4000,16000,1,6,12,82,132
57,4000,24000,64,12,16,171,237
26,16000,32000,64,16,24,361,465
26,16000,32000,64,8,24,350,465
26,8000,32000,0,8,24,220,277
26,8000,16000,0,8,16,113,185
480,96,512,0,1,1,15,6
203,1000,2000,0,1,5,21,24
115,512,6000,16,1,6,35,45
1100,512,1500,0,1,1,18,7
1100,768,2000,0,1,1,20,13
600,768,2000,0,1,1,20,16
400,2000,4000,0,1,1,28,32
400,4000,8000,0,1,1,45,32
900,1000,1000,0,1,2,18,11
900,512,1000,0,1,2,17,11
900,1000,4000,4,1,2,26,18
900,1000,4000,8,1,2,28,22
900,2000,4000,0,3,6,28,37
225,2000,4000,8,3,6,31,40
225,2000,4000,8,3,6,31,34
180,2000,8000,8,1,6,42,50
185,2000,16000,16,1,6,76,76
180,2000,16000,16,1,6,76,66
225,1000,4000,2,3,6,26,24
25,2000,12000,8,1,4,59,49
25,2000,12000,16,3,5,65,66
17,4000,16000,8,6,12,101,100
17,4000,16000,32,6,12,116,133
1500,768,1000,0,0,0,18,12
1500,768,2000,0,0,0,20,18
800,768,2000,0,0,0,20,20
50,2000,4000,0,3,6,30,27
50,2000,8000,8,3,6,44,45
50,2000,8000,8,1,6,44,56
50,2000,16000,24,1,6,82,70
50,2000,16000,24,1,6,82,80
50,8000,16000,48,1,10,128,136
100,1000,8000,0,2,6,37,16
100,1000,8000,24,2,6,46,26
100,1000,8000,24,3,6,46,32
50,2000,16000,12,3,16,80,45
50,2000,16000,24,6,16,88,54
50,2000,16000,24,6,16,88,65
150,512,4000,0,8,128,33,30
115,2000,8000,16,1,3,46,50
115,2000,4000,2,1,5,29,40
92,2000,8000,32,1,6,53,62
92,2000,8000,32,1,6,53,60
92,2000,8000,4,1,6,41,50
75,4000,16000,16,1,6,86,66
60,4000,16000,32,1,6,95,86
60,2000,16000,64,5,8,107,74
60,4000,16000,64,5,8,117,93
